:ID,actor,:LABEL
20239,克斯腾·布劳克 Kirsten Block,actor
20240,张磊 Lei Zhang,actor
20241,朱芷莹 Chih-ying Chu,actor
20242,朱莉娅·戴维斯 Julia Davis,actor
20243,弗雷德里克·埃弗斯 Fredrik Evers,actor
20244,洛克兰·艾肯 Loclann Aiken,actor
20245,黄炜溏 Wai-tong Wong,actor
20246,安格斯·麦克莱恩 Angus MacLane,actor
20247,马克·多兹劳 Mark Dozlaw,actor
20248,罗德里戈·桑托罗 Rodrigo Santoro,actor
20249,甄子丹 Donnie Yen,actor
20250,小笠原海 Kai Ogasawara,actor
20251,艾伦·阿金 Alan Arkin,actor
20252,康斯坦丁·格雷戈里 Constantine Gregory,actor
20253,尼德·巴蒂 Ned Beatty,actor
20254,龟山助清 Kameyama Sukekiyo,actor
20255,乔纳森·伊万斯-琼斯 Jonathan Evans-Jones,actor
20256,理查·基尔 Richard Gere,actor
20257,迪普·罗伊 Deep Roy,actor
20258,西井幸人 Yukito Nishii,actor
20259,艾莉·布莱恩特 Elly Bryant,actor
20260,蔡琴 Chin Tsai,actor
20261,奥克塔维·索利斯 Octavio Solis,actor
20262,瓦莱里奥·马斯坦德雷亚 Valerio Mastandrea,actor
20263,代少波 Shaobo Dai,actor
20264,尼古拉·科斯特-瓦尔道 Nikolaj Coster-Waldau,actor
20265,Tabetha Thomas,actor
20266,黛比·雷诺斯 Debbie Reynolds,actor
20267,范文雀 Bunjaku Han,actor
20268,休·格兰特 Hugh Grant,actor
20269,欧鲁米基·欧拉乌米 Olumiji Olawumi,actor
20270,张一白 Yibai Zhang,actor
20271,托马斯·蒂梅 Thomas Thieme,actor
20272,吉亚·科波拉 Gia Coppola,actor
20273,小佩德罗·阿门达里斯 Pedro Armendáriz Jr.,actor
20274,吉尔·拉森 Jill Larson,actor
20275,詹姆斯·A·伍兹 James A. Woods,actor
20276,简·哈根 Jean Hagen,actor
20277,张曼玉 Maggie Cheung,actor
20278,丹·卡斯泰兰尼塔 Dan Castellaneta,actor
20279,弗兰克·达戈斯蒂诺 Frank D&#39;Agostino,actor
20280,埃里克·赛克斯 Eric Sykes,actor
20281,柯宇纶 Lawrence Ko,actor
20282,金光奎 Kwang-gyu Kim,actor
20283,克里斯蒂娜·度·瑞格 Cristina do Rego,actor
20284,金毅 Yi Jin,actor
20285,露西娅·莫尼斯 Lúcia Moniz,actor
20286,郑西仁 Seo-In Jeong,actor
20287,杨明宪 Yang Myeong-heon,actor
20288,普里德拉格·比耶拉克 Predrag Bjelac,actor
20289,西蒙·奥克兰 Simon Oakland,actor
20290,斯加特曼·克罗索斯 Scatman Crothers,actor
20291,Lexie Bigham,actor
20292,Bret A. Arnold,actor
